PlayerId,Name,Bats,Throws
572228,Luke Voit,R,R
572233,Christian Walker,R,R
572287,Mike Zunino,R,R
572362,Robbie Erlin,R,L
572365,Ryan Goins,L,R
572383,Brian Moran,L,L
572403,Drew VerHagen,R,R
572703,Luke Bard,R,R
572761,Matt Carpenter,L,R
572816,Corey Dickerson,L,R
572821,Brian Dozier,R,R
572863,Dustin Garneau,R,R
572888,Shane Greene,R,R
572955,Pierce Johnson,R,R
572971,Dallas Keuchel,L,L
573009,Joe Mantiply,R,L
573046,Mike Morin,R,R
573062,Aaron Northcraft,R,R
573109,AJ Ramos,R,R
573124,Taylor Rogers,L,L
573127,Zac Rosscup,R,L
573131,Darin Ruf,R,R
573186,Marcus Stroman,R,R
573204,Caleb Thielbar,R,L
573262,Mike Yastrzemski,L,L
573668,Juan Minaya,R,R
575929,Willson Contreras,R,R
576397,Jedd Gyorko,R,R
578428,Jose Iglesias,R,R
578570,Juniel Querecuto,S,R
579328,Yusei Kikuchi,L,L
580792,Nick Goody,R,R
588751,Adeiny Hechavarría,R,R
591712,Óscar Hernández,R,R
591720,Ronald Torreyes,R,R
591741,José Osuna,R,R
591971,Breyvic Valera,S,R
592094,Jason Adam,R,R
592122,Tyler Austin,R,R
592135,Cam Bedrosian,R,R
592144,Wynton Bernard,R,R
592145,Jesse Biddle,L,L
592155,Cam Booser,L,L
592165,Brandon Brennan,R,R
592169,Austin Brice,R,R
592178,Kris Bryant,R,R
592192,Mark Canha,R,R
592200,Curt Casali,R,R
592206,Nick Castellanos,R,R
592222,Alex Claudio,L,L
592229,Dylan Covey,R,R
592233,Stefan Crichton,R,R
592254,José De León,R,R
592261,Delino DeShields,R,R
592273,Brandon Drury,R,R
592288,Kent Emanuel,L,L
592314,Mike Foltynewicz,R,R
592325,Ben Gamel,L,L
592332,Kevin Gausman,L,R
592346,Chi Chi González,R,R
592348,Niko Goodrum,S,R
592351,Jon Gray,R,R
592387,Ryon Healy,R,R
592390,Heath Hembree,R,R
592407,Bryan Holaday,R,R
592419,Jared Hoying,L,R
592426,Luke Jackson,R,R
592444,JaCoby Jones,R,R
592450,Aaron Judge,R,R
592454,Tommy Kahnle,R,R
592464,Mike Kickham,L,L
592473,Adam Kolarek,L,L
592499,Artie Lewicki,R,R
592518,Manny Machado,R,R
592527,Michael Mariot,R,R
592530,José Marmolejos,L,L
592567,Colin Moran,L,R
592612,Josh Osich,L,L
592622,Mark Payton,L,L
592626,Joc Pederson,L,L
592644,Adam Plutko,R,R
592656,Henry Ramos,S,R
592660,Rangel Ravelo,R,R
592662,Robbie Ray,L,L
592663,J.T. Realmuto,R,R
592669,Hunter Renfroe,R,R
592680,Yadiel Rivera,R,R
592696,Eddie Rosario,L,R
592712,Connor Sadzeck,R,R
592716,Adrian Sampson,R,R
592717,Aaron Sanchez,R,R
592741,Chasen Shreve,L,L
592743,Andrelton Simmons,R,R
592761,Caleb Smith,R,L
592767,Drew Smyly,L,L
592773,Ryne Stanek,R,R
592779,Brock Stewart,L,R
592789,Noah Syndergaard,L,R
592791,Jameson Taillon,R,R
592804,Tyler Thornburg,R,R
592811,Andrew Triggs,R,R
592826,Vince Velasquez,R,R
592831,Konner Wade,L,R
592833,Bobby Wahl,R,R
592836,Taijuan Walker,R,R
592848,Zack Weiss,R,R
592858,Rowan Wick,L,R
592859,Stevie Wilkerson,S,R
592863,Mason Williams,L,R
592865,Taylor Williams,S,R
592866,Trevor Williams,R,R
592879,Asher Wojciechowski,R,R
592885,Christian Yelich,L,R
593140,Michael Feliz,R,R
593144,Richard Rodríguez,R,R
593160,Whit Merrifield,R,R
593334,Domingo Germán,R,R
593372,Carlos Martinez,R,R
593423,Frankie Montas,R,R
593428,Xander Bogaerts,R,R
593528,Jorge Bonifacio,R,R
593576,Héctor Neris,R,R
593590,Webster Rivas,R,R
593604,Alberto Baldonado,L,L
593619,Domingo Tapia,R,R
593643,Hanser Alberto,R,R
593833,Wander Suero,R,R
593871,Jorge Polanco,S,R
593934,Miguel Sanó,R,R
593958,Eduardo Rodriguez,L,L
593974,Wandy Peralta,L,L
593993,José Briceño,R,R
594027,Tyron Guerrero,R,R
594056,Reymin Guduan,L,L
594311,Jandel Gustave,R,R
594577,Mike Mayers,R,R
594580,Sam Moll,L,L
594694,Wilmer Difo,S,R
594777,Kole Calhoun,L,L
594795,Grant Dayton,L,L
594798,Jacob deGrom,L,R
594807,Adam Duvall,R,R
594809,Adam Eaton,L,L
594824,Greg Garcia,L,R
594835,Marco Gonzales,L,L
594838,Phil Gosselin,R,R
594840,Matt Grace,L,L
594902,Ben Lively,R,R
594943,Zach Neal,R,R
594965,Daniel Ponce de Leon,R,R
594985,Ben Rowen,R,R
594986,Kyle Ryan,L,L
594987,Casey Sadler,R,R
594988,Scott Schebler,L,R
595001,Josh A. Smith,R,R
595014,Blake Treinen,R,R
595191,Jerad Eickhoff,R,R
595263,Mickey Jannis,R,R
595281,Kevin Kiermaier,L,R
595284,Andrew Knapp,S,R
595345,Steven Okert,L,L
595375,JT Riddle,L,R
595411,Ryan Sherriff,L,L
595453,Chad Wallach,R,R
595465,Dan Winkler,R,R
595751,Jorge Alfaro,R,R
595777,Jurickson Profar,S,R
595798,R.J. Alaniz,R,R
595879,Javier Báez,R,R
595881,Tyler Beede,R,R
595897,Nick Burdi,R,R
595909,Jake Cave,L,L
595918,A.J. Cole,R,R
595928,John Curtiss,R,R
595939,Chris Ellis,L,R
595943,Phillip Evans,R,R
595956,Cam Gallagher,R,R
595978,Austin Hedges,R,R
595981,Scott Heineman,R,R
596001,Jakob Junis,R,R
596019,Francisco Lindor,S,R
596027,Dillon Maples,R,R
596035,Reggie McClain,R,R
596043,Daniel Mengden,R,R
596049,Shawn Morimando,L,L
596056,John Nogowski,R,L
596057,Daniel Norris,L,L
596059,Rougned Odor,L,R
596071,Dillon Peters,L,L
596082,Jake Reed,R,R
596101,Justin Shafer,R,R
